Table,Number,SKU,Wine,Vintage,1Price,6Price
9,60,0966423,Villa Wolf Pinot Noir Pfalz,2023,15.99,12.99
9,61,4512819,Neil Ellis Stellenbosch Cabernet Sauvignon,2019,26,24
9,62,2071620,Bellemore Family Selection Pinotage Stellenbosch,2020,17.99,15.99
10,63,4361924,RedHeads Riesling,2024,14.99,12.99
10,64,4362024,RedHeads Semillon,2024,15.99,13.99
10,65,4043823,RedHeads Harmonie Rox Chardonnay,2023,11.99,10.99
10,66,2802223,RedHeads Wilson Gunn Bellum Cabernet Sauvignon Shiraz,2023,18.99,16.99
10,67,3244522,RedHeads Night Of The Living Red,2022,24,22
10,68,0184220,Esule by RedHeads,2020,30,25
10,70,0193622,RedHeads Barrel Monkeys Shiraz,2022,14.99,10.99
11,69,4169622,William Knuttel Sonoma Valley Chardonnay,2022,19.99,17.99
11,71,2531523,Purple Owl Pinot Noir ,2023,13.99,10.99
11,73,3993223,Black Saint Peter Old Vine Zinfandel,2023,18.99,25
11,74,2679321,Pulenta XI Gran Cabernet Franc,2021,45,40
11,75,1458423,Bodegas Caro Aruma Malbec,2023,17.99,17.99
12,78,1802524,Casa Silva Seleccion Especial Sauvignon Blanc,2024,13.99,11.99
12,80,1672023,Casa Silva Cool Coast Pinot Noir,2023,19.99,17.99
12,81,4135224,Casa Silva Seleccion Especial Cabernet Sauvignon Carmenere,2024,14.99,12.99
12,82,0949023,Casa Silva Carmenere Reserva Cuvee Colchagua,2023,14.99,12.99
12,79,0908924,Casa Silva Seleccion Especial Chardonnay Semillon,2024,13.99,11.99
13,83,1949515,Andresen 10 YR Old White Port 50cl,2015,18.99,16.99
13,84,4194519,L'Epiphanie de Sauternes half bottle,2019,19.99,17.99
13,85,4589718,Dr Loosen Riesling Beerenauslese (quarter bottle in gift tub,2018,15,13
13,86,4403623,Averys 10-Year-Old Tawny Port (50cl),2023,18.99,16.99
13,87,4580818,Baronesa de Vilar LBV (Hand Painted Bottle),2018,19.99,17.99
